date,page_media_view,page_views_total,page_post_engagements,page_follows,page_total_media_view_unique_day,page_total_media_view_unique_days_28
2026-06-22,11672,65,100,13686,4522,69304
2026-06-23,9855,48,89,13686,4259,68075
2026-06-24,10366,63,88,13686,4813,67280
2026-06-25,10497,47,105,13691,4377,66162
2026-06-26,9928,71,83,13700,4197,65706
2026-06-27,9937,57,75,13702,4025,65568
2026-06-28,12390,70,121,13706,5127,65668
2026-06-29,10297,33,93,13705,4357,63749
2026-06-30,9264,55,91,13708,4080,62487
2026-07-01,10623,69,116,13710,4856,61837
2026-07-02,9513,42,80,13712,4331,58159
2026-07-03,10868,53,98,13714,4853,54468
2026-07-04,11250,52,97,13714,4813,52557
2026-07-05,12833,59,90,13720,5534,51198
2026-07-06,11760,62,87,13729,5283,48806
2026-07-07,13122,78,113,13735,6206,47853
2026-07-08,11521,61,114,13740,5268,46295
2026-07-09,11019,72,87,13747,5062,46325
2026-07-10,11191,51,91,13750,5217,46199
2026-07-11,11754,59,110,13753,5242,45574
2026-07-12,13109,74,140,13763,5788,45152
2026-07-13,12935,52,123,13767,6262,45512
2026-07-14,12089,72,110,13771,5815,45605
2026-07-15,11026,55,86,13774,4880,46323
2026-07-16,10450,78,97,13781,4771,46706
2026-07-17,11660,65,130,13787,5601,47141
2026-07-18,12719,48,107,13790,5709,47353
2026-07-19,12678,78,120,13798,5413,47337
